carrierName,carrierCode
일본항공,JL
저팬트랜스오션에어,NU
자지라항공,J9
재즈,QK
JC 국제항공(캄보디아),QD
제주항공,7C
제트에어그룹,JSI
제트2.컴,LS
제트에어 캐리비안,4J
제트블루항공,B6
제트컨넥트,QNZ
제트스마트(아르헨티나),WJ
제트스마트(칠레),JA
젯스마트(페루),JZ
제트스타,JQ
제트스타 아시아,3K
제트스타 일본,GK
제트타임항공,JTD
제트웨이즈 항공,WU
강소경동화물항공,JG
장시 에어,RY
진에어,LJ
조니카 항공,JO
요르단 항공,R5
조이에어 (신복항공),JR
JSX 항공,XE
주바에어웨이,3J
주바 항공,JBW
점프 항공,JUP
준야오 항공,HO
준카누 항공,JKN
쥬피터제트,IM
유틀란트 제츠 항공,JUT
카보에어,QNK
칼리타에어,K4
칼리타 i터,K9
캄에어,RQ
가마카항공,KMK
카리노 항공,U5
카룬항공사,NV
카타 운송회사,KTV
카야항공사,KYY
케이디 항공,KDC
키워틴 에어,FK
켄모어에어,M5
켄보렉에어,4K
케냐항공,KQ
키라임에어,KG
KF 카고,FK
키쉬에어,KIS
클라스제트,KLJ
KLM 시티호퍼,WA
KLM 네덜란드 항공,KL
케이마일 아시아,8K
코미아비아트란스,KO
대한항공,KE
코스모스,KSM
코스트로마에어 엔트프라이즈,KMW
크라스아비아,KV
쿤밍 항공 (곤명항공),KY
쿠쉬에어,KUH
쿠웨이트항공,KU
라 콤페니시,B0
램-모잠비크 항공,TM
란메이항공,LQ
라오항공,QV
라오어스카이웨이,LK
레이저,QL
라탐항공,LA
라탐항공(브라질),JJ
라탐항공(칠레),LU
라탐항공(콜롬비아),4C
라탐항공(에콰도르),XL
라탐항공(파라과이),PZ
라탐항공(페루),LP
라탐 화물 브라질,M3
라탐 카고 칠레,UC
라탐화물 콜롬비아,L7
라우다 유럽 항공,LW
라양라양에어로스페이스,LAY
레브 항공,KK
레츠플라이항공,LLY
레벨 프랑스,LV
리워드,LI
리비아 항공,LN
리비안 윙스,YL
SUR 항공,LDS
남미항공,4L
링크 항공,FC
라이온 항공,JT
로커항공,LOC
로간에어,LM
룽장 항공,LT
룽 항공,GJ
LOT 폴란드 항공,LO
럭키에어,8L
루프트한자,LH
루프트한자 카고,LH
루프트한자 시티라인,CL
루프트트랜스포트,LTR
블루 파노라마 항공,LKA
루코일아비아,LUK
루루타이 항공,L8
루미윙스,L9
룩스에어,LG
LYDD 에어,LYD
린든 항공화물,L2
린든 항공화물,LYB
링스에어,Y9
M 제츠인터내셔널 항공,WW
맥 항공,MKB
머스크화물항공,DJ
매그니콘스턴스,GMT
마한에어,W5
마호가니 에어,KT
말라이 항공,3W
말레이시아 항공,MH
몰디비안,Q2
말레스항공,DB
몰타 항공,AL
몰타 메드에어,MT
만다린항공,AE
만 야다나르폰 항공사,7Y
만타에어,NR
MAP 항공,7M
마라부,DI
마라톤 항공,O8
마스아비아 항공,MRS
마틴에어,MP
마스,M7
마스윙즈,MY
모리타니아 항공,L6
마비곡 항공 (MGA),4M
맥스항공(나이지리아),VM
막시무스 에어카고,6M
마야아일랜드에어,2M
마이에어,5G
MCS 화물항공,MCS
메디아비아,N5
메드스키 항공,BM
메라즈 항공,JI
머큐리 월드 카고,4X
메르디안 아비아 항공,MMM
메사항공,YV
MHS 항공,M2
마이애미에어인터내셔널,LL
MIAT 몽공에어라인,OM
미드항공,NYL
미들이스트항공 ,ME
MNG 화물항공,MB
모던 로지스틱스,WD
모쿠레레 항공,MHO
뭄바사 에어 사파리,RRV
몽골 화물항공,XF
