ID,ICAO,TYPE,AIRPORT_NAME,LAT,LNG,CONTINENT_CODE,CONTINENT,COUNTRY_CODE,COUNTRY,CITY,IATA
6118,SKFL,medium_airport,카피톨리오 공항  ,1.58919,-75.5644,SA,남아메리카,CO,콜롬비아,Florencia,FLA
6121,SKGO,medium_airport,산타 안나 공항,4.75818,-75.9557,SA,남아메리카,CO,콜롬비아,Cartago,CRC
6122,SKGP,medium_airport,과피 공항,2.57013,-77.897969,NA,북아메리카,CO,콜롬비아,Guapi,GPI
6124,SKIB,medium_airport,페랄레즈 공항,4.42161,-75.1333,SA,남아메리카,CO,콜롬비아,Ibagué,IBE
6126,SKIP,medium_airport,산루이스 공항,0.861307,-77.667562,NA,북아메리카,CO,콜롬비아,Ipiales,IPI
6127,SKLC,medium_airport,안토니오 롤란 베탄코트 공항,7.81196,-76.7164,SA,남아메리카,CO,콜롬비아,Carepa,APO
6128,SKLG,small_airport,코카야 공항,-0.182278,-74.7708,SA,남아메리카,CO,콜롬비아,Puerto Leguízamo,LQM
31844,SKLP,small_airport,라페드레라 공항,-1.32861,-69.5797,SA,남아메리카,CO,콜롬비아,La Pedrera,LPD
6130,SKLT,medium_airport,제네랄 A.V 코보 공항,-4.19355,-69.9432,SA,남아메리카,CO,콜롬비아,Leticia,LET
6132,SKMD,medium_airport,엔리케 울라야 헤레라 공항,6.220549,-75.590582,SA,남아메리카,CO,콜롬비아,Medellín,EOH
6138,SKMR,medium_airport,산 제로니모 공항,8.82374,-75.8258,SA,남아메리카,CO,콜롬비아,Montería,MTR
6139,SKMU,medium_airport,파비오 알베르토 레옹 벤틀레이 공항,1.25366,-70.2339,SA,남아메리카,CO,콜롬비아,Mitú,MVP
6140,SKMZ,medium_airport,산타구이다 공항,5.0296,-75.4647,SA,남아메리카,CO,콜롬비아,Manizales,MZL
308661,SKNA,small_airport,라마카레나 공항,2.17565,-73.78674,NA,북아메리카,CO,콜롬비아,La Macarena,LMC
32314,SKNQ,small_airport,누키 공항,5.6964,-77.2806,SA,남아메리카,CO,콜롬비아,Nuquí,NQU
6141,SKNV,medium_airport,라 마르귀타 공항,2.95015,-75.294,SA,남아메리카,CO,콜롬비아,Neiva,NVA
6146,SKPC,medium_airport,푸에르토카레뇨 공항,6.18472,-67.4932,SA,남아메리카,CO,콜롬비아,Puerto Carreño,PCR
6147,SKPD,medium_airport,오밴도 공항,3.85353,-67.9062,SA,남아메리카,CO,콜롬비아,Puerto Inírida,PDA
